low,size,het,cost,DT,MP,CR
BaU,large,HM-HT,107736.9679871042,11782.0,100359.0000000001,83372.20000000006
DL,small,HM-HT,6626.90391922402,322.0,3018.0000000000014,2369.800000000001
PL,medium,HT-HM,12754.560119909493,9114.0,22319.0,22319.0
DL,large,HM-HT,106533.8905487341,11404.0,95722.00000000006,65401.200000000026
PL,large,HT-HT,45713.75112261808,51428.0,120359.00000000148,87314.00000000051
BaU,small,HM-HT,6811.579303158989,344.0,2656.000000000001,2405.4
DL,medium,HT-HT,29180.815691555934,2382.0,20183.999999999967,12490.999999999984
PD,large,HT-HM,21250.030854475182,47940.0,117696.9999999996,47078.799999999836
PL,large,HM-HT,30587.70317727713,45238.0,128466.99999999994,78812.59999999999
BaU,small,HT-HT,10422.168749283252,857.0,7071.000000000001,4603.999999999998
DL,medium,HT-HM,28966.867924254577,2310.0,19931.99999999998,15945.599999999986
PL,medium,HM-HM,20502.26644290328,17433.0,36170.0,36170.0
PD,medium,HT-HM,15485.794084631956,14996.0,32474.999999999785,25979.99999999983
PD,medium,HM-HT,18487.894357378103,16676.0,35465.00000000005,27668.399999999994
PD,small,HT-HT,5029.2532911882845,5866.0,11897.0000000004,6708.8000000001575
BaU,small,HT-HM,15880.372356131273,1408.0,10875.999999999984,8700.799999999988
BaU,small,HM-HT,6612.146500945789,313.0,3000.0000000000014,2361.600000000001
PL,small,HM-HM,3694.0714911738783,1930.0,4126.000000000006,3300.8000000000056
DL,medium,HM-HM,37077.043653200926,2495.0,21416.0,21416.0
PL,small,HT-HM,3810.365517148396,8175.0,16859.999999999858,6743.999999999945
PD,medium,HT-HM,14836.159157397164,10026.0,23213.0,23213.0
BaU,medium,HM-HT,35995.519511371145,2664.0,22897.999999999967,18174.599999999977
BaU,medium,HT-HT,29043.95702222817,2449.0,20710.999999999967,12771.199999999983
PL,medium,HT-HM,7009.778754443021,15848.0,37677.99999999984,15071.199999999939
DL,small,HM-HM,6548.720086774369,362.0,2688.000000000001,1075.2000000000003
PL,small,HM-HM,2968.3611362017823,3288.0,5708.999999999985,2283.5999999999945
PL,large,HM-HM,24667.34011657168,57478.0,143126.99999999945,57250.799999999785
DL,medium,HT-HT,21507.82005774718,1724.0,15412.000000000024,11904.200000000017
BaU,small,HT-HT,13964.184327428962,1349.0,11501.000000000002,8306.199999999995
PL,medium,HM-HM,16108.765149818113,17433.0,36169.99999999971,28935.999999999767
BaU,small,HT-HM,14070.612329343809,1253.0,10228.999999999987,4091.599999999995
PD,small,HM-HM,3049.712247770704,3347.0,5767.999999999986,2307.1999999999953
DL,small,HM-HT,6671.343734028803,362.0,3031.0000000000005,2041.0
PD,medium,HT-HT,10799.206822210675,16908.0,34361.000000000604,18556.800000000232
DL,small,HM-HM,6762.879978896823,361.0,2678.000000000001,2142.400000000001
