offer ($),clients reduction (W),H,motor
0.0,-54.0,46746.454,30067.5
0.025,6407.0,45131.204,21991.25
0.05,6788.0,45035.954,21515.0
0.075,7274.0,44914.454,20907.5
0.1,7369.0,44890.704,20788.75
0.125,7685.0,44811.704,20393.75
0.15,7879.0,44763.204,20151.25
0.175,8081.0,44712.704,19898.75
0.2,8193.0,44684.704,19758.75
0.225,8333.0,44649.704,19583.75
0.25,8333.0,44649.704,19583.75
0.275,8362.0,44642.454,19547.5
0.3,8376.0,44638.954,19530.0
0.325,8403.0,44632.204,19496.25
0.35,8453.0,44619.704,19433.75
0.375,8473.0,44614.704,19408.75
0.4,8486.0,44611.454,19392.5
0.425,8492.0,44609.954,19385.0
0.45,8492.0,44609.954,19385.0
0.475,8507.0,44606.204,19366.25
0.5,8522.0,44602.454,19347.5
0.525,8556.0,44593.954,19305.0
0.55,8578.0,44588.454,19277.5
0.575,8600.0,44582.954,19250.0
0.6,8600.0,44582.954,19250.0
0.625,8622.0,44577.454,19222.5
0.65,8675.0,44564.204,19156.25
0.675,8869.0,44515.704,18913.75
0.7,8877.0,44513.704,18903.75
0.725,9317.0,44403.704,18353.75
0.75,9465.0,44366.704,18168.75
0.775,9465.0,44366.704,18168.75
0.8,9607.0,44331.204,17991.25
0.825,9641.0,44322.704,17948.75
0.85,9883.0,44262.204,17646.25
0.875,9883.0,44262.204,17646.25
0.9,10288.0,44160.954,17140.0
0.925,11659.0,43818.204,15426.25
0.95,14349.0,43145.704,12063.75
0.975,15118.0,42953.454,11102.5
1.0,15118.0,42953.454,11102.5
1.025,15320.0,42902.954,10850.0
1.05,15320.0,42902.954,10850.0
1.075,15514.0,42854.454,10607.5
1.1,15561.0,42842.704,10548.75
1.125,15561.0,42842.704,10548.75
1.15,15561.0,42842.704,10548.75
1.175,15573.0,42839.704,10533.75
1.2,15573.0,42839.704,10533.75
1.225,15609.0,42830.704,10488.75
1.25,15732.0,42799.954,10335.0
1.275,15773.0,42789.704,10283.75
1.3,16093.0,42709.704,9883.75
1.325,16093.0,42709.704,9883.75
1.35,16623.0,42577.204,9221.25
1.375,17459.0,42368.204,8176.25
1.4,17749.0,42295.704,7813.75
1.425,18293.0,42159.704,7133.75
1.45,19274.0,41914.454,5907.5
1.475,19479.0,41863.204,5651.25
1.5,20078.0,41713.454,4902.5
1.525,20480.0,41612.954,4400.0
1.55,20809.0,41530.704,3988.75
1.575,20906.0,41506.454,3867.5
1.6,21031.0,41475.204,3711.25
1.625,21416.0,41378.954,3230.0
1.65,21416.0,41378.954,3230.0
1.675,21416.0,41378.954,3230.0
1.7,21794.0,41284.454,2757.5
1.725,21922.0,41252.454,2597.5
1.75,22195.0,41184.204,2256.25
1.775,22741.0,41047.704,1573.75
1.8,23156.0,40943.954,1055.0
1.825,24222.0,40677.454,0.0
1.85,27346.0,39896.454,0.0
1.875,29044.0,39471.954,0.0
1.9,30386.0,39136.454,0.0
1.925,31944.0,38746.954,0.0
1.95,32920.0,38502.954,0.0
1.975,33108.0,38455.954,0.0
2.0,33311.0,38405.204,0.0
2.025,33946.0,38246.454,0.0
2.05,34221.0,38177.704,0.0
2.075,34221.0,38177.704,0.0
2.1,34346.0,38146.454,0.0
2.125,34533.0,38099.704,0.0
2.15,34762.0,38042.454,0.0
2.175,34762.0,38042.454,0.0
2.2,34762.0,38042.454,0.0
2.225,35166.0,37941.454,0.0
2.25,35362.0,37892.454,0.0
2.275,35553.0,37844.704,0.0
2.3,37321.0,37402.704,0.0
2.325,37898.0,37258.454,0.0
2.35,43092.0,35959.954,0.0
2.375,43284.0,35911.954,0.0
2.4,44258.0,35668.454,0.0
2.425,44648.0,35570.954,0.0
2.45,45589.0,35335.704,0.0
2.475,45589.0,35335.704,0.0
2.5,45966.0,35241.454,0.0
2.525,45989.0,35235.704,0.0
2.55,46182.0,35187.454,0.0
2.575,46356.0,35143.954,0.0
2.6,46356.0,35143.954,0.0
2.625,46356.0,35143.954,0.0
2.65,46755.0,35044.204,0.0
2.675,47127.0,34951.204,0.0
2.7,47322.0,34902.454,0.0
2.725,47515.0,34854.204,0.0
2.75,48090.0,34710.454,0.0
2.775,48500.0,34607.954,0.0
2.8,49097.0,34458.704,0.0
2.825,49097.0,34458.704,0.0
2.85,49871.0,34265.204,0.0
2.875,49871.0,34265.204,0.0
2.9,51243.0,33922.204,0.0
2.925,52029.0,33725.704,0.0
2.95,52426.0,33626.454,0.0
2.975,52433.0,33624.704,0.0
3.0,52433.0,33624.704,0.0
3.025,52838.0,33523.454,0.0
3.05,53012.0,33479.954,0.0
3.075,53237.0,33423.704,0.0
3.1,53434.0,33374.454,0.0
3.125,53434.0,33374.454,0.0
3.15,53434.0,33374.454,0.0
3.175,53434.0,33374.454,0.0
3.2,53434.0,33374.454,0.0
3.225,53449.0,33370.704,0.0
3.25,53449.0,33370.704,0.0
3.275,53490.0,33360.454,0.0
3.3,53490.0,33360.454,0.0
3.325,53490.0,33360.454,0.0
3.35,53689.0,33310.704,0.0
3.375,53886.0,33261.454,0.0
3.4,54285.0,33161.704,0.0
3.425,54679.0,33063.204,0.0
3.45,54857.0,16509.352,0.0
3.475,55282.0,16456.227,0.0
3.5,55486.0,16430.727,0.0
